time,prediction_error,prediction_rmse,control_error,control_rmse,base_error_ratio,energy_consumption,reward,platform_x,platform_y,platform_z,platform_roll,platform_pitch,platform_yaw,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,predicted_platform_x,predicted_platform_y,predicted_platform_z,predicted_platform_roll,predicted_platform_pitch,predicted_platform_yaw
2000.1000000000001,0.0,,0.020299097523093224,0.17301097453139758,3.0681309700012207,376.3396009233399,-0.0066230157390236855,-2.817978858947754,0.8680658340454102,-0.5671768188476562,-0.003988563548773527,-0.00534944050014019,0.004740335047245026,-3.732022762298584,1.3092865943908691,-0.8999765515327454,0.002287688199430704,-0.020214401185512543,0.21868446469306946,-2.817978858947754,0.8680658340454102,-0.5671768188476562,-0.003988563548773527,-0.00534944050014019,0.004740335047245026
2000.2,0.0,,0.020537996664643288,0.17301025769966527,3.0654189586639404,376.3334745236615,-0.004391646943986416,-3.318840980529785,0.8866653442382812,-0.4503021240234375,-0.0037515100557357073,-0.005489416420459747,0.004814973101019859,-3.9941771030426025,1.3108444213867188,-0.7777785062789917,0.0025612704921513796,-0.020451877266168594,0.22239048779010773,-3.318840980529785,0.8866653442382812,-0.4503021240234375,-0.0037515100557357073,-0.005489416420459747,0.004814973101019859
2000.3,0.0,,0.019714001566171646,0.17300975613395633,2.875075101852417,376.3275209113769,5.714382859878242e-05,-3.7657413482666016,0.8949708938598633,-0.33353424072265625,-0.003606174373999238,-0.005716655869036913,0.005216494202613831,-4.236130714416504,1.3125219345092773,-0.6557064056396484,0.001902169082313776,-0.019771628081798553,0.22699782252311707,-3.7657413482666016,0.8949708938598633,-0.33353424072265625,-0.003606174373999238,-0.005716655869036913,0.005216494202613831
2000.4,0.0,,0.019469065591692924,0.1730095112669613,2.7708191871643066,376.32153980702566,0.00743052177131176,-4.15960693359375,0.8944358825683594,-0.2172088623046875,-0.0035684637259691954,-0.006032558623701334,0.005963430739939213,-4.456066131591797,1.3143012523651123,-0.5341209769248962,0.0024782526306807995,-0.020018041133880615,0.2381971776485443,-4.15960693359375,0.8944358825683594,-0.2172088623046875,-0.0035684637259691954,-0.006032558623701334,0.005963430739939213
2000.5,0.0,,0.01917506940662861,0.17300954289021026,2.651654005050659,376.3156117221422,0.02012847177684307,-4.495563507080078,0.8800487518310547,-0.10166168212890625,-0.0036473639775067568,-0.006414914969354868,0.007010576780885458,-4.653308391571045,1.3154785633087158,-0.41364777088165283,0.002462055068463087,-0.020457308739423752,0.23152273893356323,-4.495563507080078,0.8800487518310547,-0.10166168212890625,-0.0036473639775067568,-0.006414914969354868,0.007010576780885458
2000.6000000000001,0.0,,0.019543707370758057,0.17301009708268567,2.5071048736572266,376.30968208726716,0.029407139867544174,-4.772899627685547,0.8554210662841797,0.0128936767578125,-0.0038396127056330442,-0.006856841500848532,0.008334629237651825,-4.826164245605469,1.315725326538086,-0.2943035960197449,0.0023626992478966713,-0.02100382372736931,0.24415460228919983,-4.772899627685547,0.8554210662841797,0.0128936767578125,-0.0038396127056330442,-0.006856841500848532,0.008334629237651825
2000.7,0.0,,0.01990812085568905,0.17301102778564514,2.349989414215088,376.3036987272269,0.042550548911094666,-4.99163818359375,0.8170185089111328,0.1262359619140625,-0.004142822232097387,-0.0073507120832800865,0.009911351837217808,-4.9736528396606445,1.3144264221191406,-0.1770171821117401,0.0025805304758250713,-0.02120397612452507,0.23687124252319336,-4.99163818359375,0.8170185089111328,0.1262359619140625,-0.004142822232097387,-0.0073507120832800865,0.009911351837217808
2000.8,0.0,,0.019678998738527298,0.17301243430484253,2.1681623458862305,376.29771295605656,0.04782293736934662,-5.151271820068359,0.7663850784301758,0.23822784423828125,-0.004543070215731859,-0.007873316295444965,0.01167050190269947,-5.094995498657227,1.3106348514556885,-0.06143386662006378,0.0029104137793183327,-0.02119790017604828,0.2425900399684906,-5.151271820068359,0.7663850784301758,0.23822784423828125,-0.004543070215731859,-0.007873316295444965,0.01167050190269947
2000.9,0.0,,0.019992604851722717,0.17301399730180853,2.092029333114624,376.2916495270748,0.04277854785323143,-5.252388000488281,0.7035646438598633,0.34870147705078125,-0.005021275021135807,-0.008403467945754528,0.013541581109166145,-5.190621376037598,1.3038873672485352,0.05185738205909729,0.003920696210116148,-0.020977698266506195,0.25704225897789,-5.252388000488281,0.7035646438598633,0.34870147705078125,-0.005021275021135807,-0.008403467945754528,0.013541581109166145
2001.0,0.0,,0.0203858632594347,0.173016314598088,1.9095406532287598,376.28567453631484,0.03464129567146301,-5.296051979064941,0.6261024475097656,0.4576263427734375,-0.0055810618214309216,-0.008941867388784885,0.015543266199529171,-5.259699821472168,1.2936384677886963,0.1626531183719635,0.003209898481145501,-0.02075611799955368,0.2533724308013916,-5.296051979064941,0.6261024475097656,0.4576263427734375,-0.0055810618214309216,-0.008941867388784885,0.015543266199529171
2001.1000000000001,0.0,,0.019841887056827545,0.17301864636126368,1.756712794303894,376.2795318855069,0.02893497422337532,-5.28428840637207,0.5365753173828125,0.5648345947265625,-0.0061945668421685696,-0.009458824060857296,0.017584947869181633,-5.303094863891602,1.2798690795898438,0.2704141438007355,0.0031098437029868364,-0.02015266939997673,0.2378346174955368,-5.28428840637207,0.5365753173828125,0.5648345947265625,-0.0061945668421685696,-0.009458824060857296,0.017584947869181633
2001.2,0.0,,0.019514353945851326,0.1730208198126738,1.6573786735534668,376.27328780919584,0.027176514267921448,-5.220968246459961,0.43838977813720703,0.6703033447265625,-0.006842837203294039,-0.009936041198670864,0.01962100714445114,-5.321164131164551,1.262359619140625,0.37471187114715576,0.004240822046995163,-0.0195387564599514,0.23961463570594788,-5.220968246459961,0.43838977813720703,0.6703033447265625,-0.006842837203294039,-0.009936041198670864,0.01962100714445114
2001.3,0.0,,0.019708547741174698,0.17302302679555243,1.523189902305603,376.26695726144993,0.03540284186601639,-5.108142852783203,0.3290681838989258,0.7738571166992188,-0.00749092036858201,-0.010345840826630592,0.02156512625515461,-5.313470840454102,1.2408158779144287,0.476005882024765,0.003170465584844351,-0.01883680559694767,0.23552854359149933,-5.108142852783203,0.3290681838989258,0.7738571166992188,-0.00749092036858201,-0.010345840826630592,0.02156512625515461
2001.4,0.0,,0.018837500363588333,0.17302510714114547,1.4226720333099365,376.2604773053499,0.049164049327373505,-4.94775390625,0.21279621124267578,0.8753585815429688,-0.008131209760904312,-0.010679219849407673,0.023422863334417343,-5.281132698059082,1.215071439743042,0.5738003253936768,0.0023886971175670624,-0.018297936767339706,0.23673808574676514,-4.94775390625,0.21279621124267578,0.8753585815429688,-0.008131209760904312,-0.010679219849407673,0.023422863334417343
2001.5,0.0,,0.018813062459230423,0.17302737932176268,1.3749668598175049,376.25390373455014,0.06079913675785065,-4.741440773010254,0.0937042236328125,0.974609375,-0.00874974112957716,-0.010922678746283054,0.025180015712976456,-5.225273132324219,1.1858065128326416,0.6676101684570312,0.002501560840755701,-0.018209734931588173,0.22433032095432281,-4.741440773010254,0.0937042236328125,0.974609375,-0.00874974112957716,-0.010922678746283054,0.025180015712976456
2001.6000000000001,0.0,,0.019261589273810387,0.1730302329548863,1.34860360622406,376.24712116078035,0.06936510652303696,-4.495878219604492,-0.026094436645507812,1.0714645385742188,-0.009324105456471443,-0.011057371273636818,0.026802072301506996,-5.146451473236084,1.153599500656128,0.7580400109291077,0.0022269724868237972,-0.01781967654824257,0.22258572280406952,-4.495878219604492,-0.026094436645507812,1.0714645385742188,-0.009324105456471443,-0.011057371273636818,0.026802072301506996
2001.7,0.0,,0.018773941323161125,0.17303336704897562,1.2718303203582764,376.2400889925969,0.07169654965400696,-4.21462345123291,-0.1455974578857422,1.1655731201171875,-0.009822942316532135,-0.011069606058299541,0.028232760727405548,-5.045382022857666,1.1186192035675049,0.844529390335083,0.00017940143879968673,-0.017506245523691177,0.22731608152389526,-4.21462345123291,-0.1455974578857422,1.1655731201171875,-0.009822942316532135,-0.011069606058299541,0.028232760727405548
2001.8,0.0,,0.01840962842106819,0.1730363740131174,1.1987004280090332,376.23287104228064,0.07298856973648071,-3.9020776748657227,-0.26490306854248047,1.2566299438476562,-0.01023957785218954,-0.01095186173915863,0.029483690857887268,-4.924116611480713,1.0817606449127197,0.9271454811096191,-0.0012660447973757982,-0.016632627695798874,0.2069440335035324,-3.9020776748657227,-0.26490306854248047,1.2566299438476562,-0.01023957785218954,-0.01095186173915863,0.029483690857887268
2001.9,0.0,,0.01861695386469364,0.17303943900927674,1.2141063213348389,376.2251536606662,0.07040353119373322,-3.5615234375,-0.3809547424316406,1.3442764282226562,-0.010566027835011482,-0.010692274197936058,0.030563751235604286,-4.784046173095703,1.044030785560608,1.0055018663406372,-0.0011229923693463206,-0.015539359301328659,0.21044759452342987,-3.5615234375,-0.3809547424316406,1.3442764282226562,-0.010566027835011482,-0.010692274197936058,0.030563751235604286
2002.0,0.0,,0.018551360815763474,0.1730422097754034,1.246719479560852,376.21723167443,0.06702031940221786,-3.197659492492676,-0.4900045394897461,1.4280853271484375,-0.010784374549984932,-0.010280080139636993,0.03145216405391693,-4.6259307861328125,1.0060235261917114,1.0803433656692505,-0.001964672701433301,-0.014144504442811012,0.20822173357009888,-3.197659492492676,-0.4900045394897461,1.4280853271484375,-0.010784374549984932,-0.010280080139636993,0.03145216405391693
2002.1000000000001,0.0,,0.018482055515050888,0.17304454556648508,1.2760281562805176,376.208882449379,0.06428645551204681,-2.815093994140625,-0.588104248046875,1.507659912109375,-0.010880815796554089,-0.009744181297719479,0.032106660306453705,-4.451340675354004,0.9682692289352417,1.1510299444198608,-0.0009621710050851107,-0.013190220110118389,0.20548388361930847,-2.815093994140625,-0.588104248046875,1.507659912109375,-0.010880815796554089,-0.009744181297719479,0.032106660306453705
2002.2,0.0,,0.018612971529364586,0.17304659847696566,1.3240933418273926,376.20031140522036,0.06182453781366348,-2.419369697570801,-0.6743087768554688,1.5823898315429688,-0.010856004431843758,-0.009067649953067303,0.032556839287281036,-4.26287317276001,0.9317314624786377,1.2176878452301025,-0.0001631567720323801,-0.011549068614840508,0.2090703397989273,-2.419369697570801,-0.6743087768554688,1.5823898315429688,-0.010856004431843758,-0.009067649953067303,0.032556839287281036
2002.3,0.0,,0.01800568401813507,0.17304800685692168,1.3123224973678589,376.19149316074106,0.06271949410438538,-2.0112314224243164,-0.7480487823486328,1.651824951171875,-0.010697857476770878,-0.008200113661587238,0.032817523926496506,-4.062526702880859,0.8971452713012695,1.2798206806182861,-0.0007803079206496477,-0.009210643358528614,0.19995713233947754,-2.0112314224243164,-0.7480487823486328,1.651824951171875,-0.010697857476770878,-0.008200113661587238,0.032817523926496506
2002.4,0.0,,0.01752699911594391,0.17304872657126252,1.3866482973098755,376.182439059865,0.06154096871614456,-1.6007471084594727,-0.8065166473388672,1.7153549194335938,-0.01040438748896122,-0.007173940073698759,0.03286566212773323,-3.8526532649993896,0.8651948571205139,1.336141586303711,-0.000957750016823411,-0.00778757780790329,0.20226317644119263,-1.6007471084594727,-0.8065166473388672,1.7153549194335938,-0.01040438748896122,-0.007173940073698759,0.03286566212773323
2002.5,0.0,,0.017276301980018616,0.17304886327939362,1.42538583278656,376.17313861859157,0.062028199434280396,-1.1887092590332031,-0.8472652435302734,1.772552490234375,-0.009971991181373596,-0.005993420723825693,0.03269347921013832,-3.634798288345337,0.8364495635032654,1.3875921964645386,-0.001690319157205522,-0.005701262969523668,0.19953957200050354,-1.1887092590332031,-0.8472652435302734,1.772552490234375,-0.009971991181373596,-0.005993420723825693,0.03269347921013832
2002.6000000000001,0.0,,0.01668400876224041,0.17304819479347827,1.5911688804626465,376.1636090940418,0.06350573897361755,-0.7790307998657227,-0.8714561462402344,1.8227920532226562,-0.009386174380779266,-0.0046373712830245495,0.03228422999382019,-3.410799980163574,0.8112479448318481,1.4329686164855957,-0.0005557715194299817,-0.004304591566324234,0.17793259024620056,-0.7790307998657227,-0.8714561462402344,1.8227920532226562,-0.009386174380779266,-0.0046373712830245495,0.03228422999382019
2002.7,0.0,,0.01623043790459633,0.17304711112366017,1.7620437145233154,376.1540659936695,0.06448934227228165,-0.3745088577270508,-0.8789482116699219,1.86553955078125,-0.008660757914185524,-0.0031444430351257324,0.031641535460948944,-3.1825480461120605,0.7900816202163696,1.4717637300491333,0.00016898720059543848,-0.0028840736486017704,0.1761011779308319,-0.3745088577270508,-0.8789482116699219,1.86553955078125,-0.008660757914185524,-0.0031444430351257324,0.031641535460948944
2002.8,0.0,,0.015520506538450718,0.1730456958597135,1.8958731889724731,376.14421830449396,0.06642196327447891,0.016859054565429688,-0.8672828674316406,1.9003143310546875,-0.0078004710376262665,-0.0015294140903279185,0.03076811321079731,-2.951540231704712,0.7737565636634827,1.5039654970169067,0.00028421211754903197,-0.0028807134367525578,0.16480889916419983,0.016859054565429688,-0.8672828674316406,1.9003143310546875,-0.0078004710376262665,-0.0015294140903279185,0.03076811321079731
2002.9,0.0,,0.015446219593286514,0.17304363099458156,2.2248122692108154,376.13397614060426,0.06770548224449158,0.39573192596435547,-0.8366842269897461,1.9265289306640625,-0.006811192724853754,0.00019576994236558676,0.029668014496564865,-2.719820022583008,0.7616504430770874,1.5287551879882812,0.0008383786771446466,-0.0026903843972831964,0.1605408787727356,0.39573192596435547,-0.8366842269897461,1.9265289306640625,-0.006811192724853754,0.00019576994236558676,0.029668014496564865
2003.0,0.0,,0.014107681810855865,0.1730413736741333,2.3360843658447266,376.1233712827693,0.07086556404829025,0.7581901550292969,-0.7895526885986328,1.943817138671875,-0.0056974380277097225,0.0020180928986519575,0.0283479243516922,-2.4893484115600586,0.7542182207107544,1.54603910446167,0.0012710265582427382,-0.0015864726155996323,0.1568874716758728,0.7581901550292969,-0.7895526885986328,1.943817138671875,-0.0056974380277097225,0.0020180928986519575,0.0283479243516922
