Method,Control Error RMSE (rad),Survival Rate,Average Energy Consumption
React-PPO,0.04273065997142986,0.0,485.0369013332679
Oracle-PPO,0.009313348053834795,0.0,485.0369013332679
Ours,0.010735088712848869,0.0,485.0369013332679
